"InstitutionID","Symbol","ShortName","EndDate","StateTypeCode","IndustryCode","AccountPayable","Prepayment","AccountReceivable","TotalAssets","ProvidedTradeCredit","ObtainedTradeCredit","BankLoanSize","SupplierPower1"
"10146366","603232","格尔软件","2025-09-30","1","I65","69126802.1400","10114861.8500","357951301.9200","1578204069.4200","375667261.0200","72153742.1400","41300393.6900","3.9310"
"10146366","603232","格尔软件","2025-12-31","1","I65","65438915.0300","9810869.5300","268338197.0000","1559275416.1400","281115517.5300","65438915.0300","40080566.7000","3.5676"
"10146366","603232","格尔软件","2026-03-31","1","I65","78265287.1300","13500067.2700","276232009.6200","1595505039.8500","289828136.8900","78991145.5300","0.0000","4.1047"
"10272689","603233","大参林","2024-03-31","1","F52","2910607540.3800","183240817.4700","1143239821.7000","25365701681.9800","1330892218.2900","7653253652.8400","1327709608.7800","29.4232"
"10272689","603233","大参林","2024-06-30","1","F52","3135002055.8700","223247146.8600","1150328184.1700","25488501758.5800","1380637326.6800","7802894546.5300","1595615612.6600","29.7099"
"10272689","603233","大参林","2024-09-30","1","F52","3346949294.9000","221661950.7300","1202447362.5300","25879469178.0900","1430322165.7000","8121830504.5400","1976501883.8100","30.4949"
"10272689","603233","大参林","2024-12-31","1","F52","2832392908.5300","180209826.5400","1289030910.2200","26439810444.7900","1474915846.5700","8442387201.4600","2263084071.3000","31.2135"
"10272689","603233","大参林","2025-03-31","1","F52","3194359127.2100","246839723.6100","1318828239.5800","26776018325.5200","1576573558.4800","9225591450.5300","1745170409.3200","33.4988"
"10272689","603233","大参林","2025-06-30","1","F52","3272413080.3100","167524829.6200","1191845544.8000","25451009709.1400","1370504281.5300","8774385033.6500","1026691703.3800","33.7806"
"10272689","603233","大参林","2025-09-30","1","F52","3263658681.8900","120546536.3600","1235073545.9500","26081775688.2500","1359813116.5800","8926656264.0800","1069618503.4900","33.7276"
"10272689","603233","大参林","2025-12-31","1","F52","2913268677.1700","172280740.1700","1260164177.3500","26486999380.8300","1436065229.3600","9945147156.3400","731333663.0800","36.8647"
"10272689","603233","大参林","2026-03-31","1","F52","3150902479.5700","179613783.8300","1270564489.9300","26830178024.0900","1454066242.5500","10175339792.4200","511424768.3300","37.2228"
"10547271","603235","天新药业","2024-03-31","1","C14","91378302.3700","45005934.2900","265008909.9700","5249611175.6900","368821881.8300","117858302.3700","220014666.6700","1.3878"
"10547271","603235","天新药业","2024-06-30","1","C14","116558878.1500","27141951.2100","277625173.4000","5102645148.8300","363450481.0200","129708878.1500","85241560.3300","2.0101"
"10547271","603235","天新药业","2024-09-30","1","C14","166510248.1700","47500415.9200","224624760.8100","5272368099.9600","361315031.5000","166510248.1700","101034648.4900","2.2572"
"10547271","603235","天新药业","2024-12-31","1","C14","250127562.3200","19311356.0200","288759845.1600","5603291129.6300","424029873.4700","250127562.3200","133488186.1700","4.1193"
"10547271","603235","天新药业","2025-03-31","1","C14","255890009.6200","32397202.6200","284340462.7900","5814847133.3400","430521018.2500","255890009.6200","216003474.0100","3.8435"
"10547271","603235","天新药业","2025-06-30","1","C14","197287911.4600","17991833.3600","261560709.8200","5754797550.3600","346669046.2300","197287911.4600","326827470.4800","3.1156"
"10547271","603235","天新药业","2025-09-30","1","C14","274363264.4000","42023349.8300","236780739.1200","5934285419.0100","350947825.1800","274363264.4000","344702551.8600","3.9152"
"10547271","603235","天新药业","2025-12-31","1","C14","312220841.5000","31382803.1900","293965495.3600","6189720256.3700","406178104.4600","312220841.5000","307168189.9600","4.5372"
"10547271","603235","天新药业","2026-03-31","1","C14","280663078.1900","51029439.1800","312670931.2800","6254453003.0500","484806725.4500","280663078.1900","334834147.3000","3.6715"
